               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10905,            0.098498,            0.052912,             0.27265,            0.047882,            0.029223,           0.0087508,            0.088491,            0.085148,            0.042998,              0.0705,           0.0032778,           0.0032778
                   1,            0.087477,             0.11474,            0.039908,             0.45681,             0.38339,             0.16754,            0.050675,             0.08121,            0.064434,            0.022572,            0.039191,           0.0053021,           0.0053021
                   2,            0.076815,            0.098707,            0.026213,               0.327,             0.65244,             0.40389,             0.13634,            0.067474,            0.053746,            0.013211,            0.006562,           0.0060064,           0.0060064
                   3,            0.065938,            0.092218,            0.019831,             0.47621,             0.80402,             0.68157,             0.26125,            0.053771,            0.052265,           0.0099362,             0.00406,             0.00406,             0.00406
                   4,            0.060077,            0.086354,            0.015199,             0.71442,             0.82228,             0.76891,             0.34211,            0.047985,            0.047864,           0.0071982,             0.00406,             0.00406,             0.00406
